Date,Team_base,Time,Opponent,Rank_base,Site,TV,Result,Attendance,Current Wins,Current Losses,Stadium Capacity,Fill Rate,New Coach,Tailgating,PRCP,SNOW,SNWD,TMAX,TMIN,Opponent_Rank,Conference,Year,Month,Day,__key,Rank_cfn,Team_cfn,FiveYearAvgAttendance,FiveYearCapacityPct,2022AvgAttendance,2022CapacityPct,FiveYearCapacityPct_f,2022CapacityPct_f,AutoCapacity,AutoFillRate,Team
10/27/2001,Arkansas,11:30 AM,No. 17 Auburn,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",JPS,W 4217,67213,3,3,72000,0.933513889,False,False,0.0,0.0,0.0,59,26,17,SEC,2001,10,27,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/10/2001,Arkansas,1:00 PM,UCF*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 2720,61527,5,3,72000,0.854541667,False,False,0.0,0.0,0.0,65,42,NR,SEC,2001,11,10,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/17/2001,Arkansas,1:00 PM,Mississippi State,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 2421,67314,6,3,72000,0.934916667,False,False,0.0,0.0,0.0,66,45,NR,SEC,2001,11,17,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/7/2002,Arkansas,6:00 PM,Boise State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 4114,70142,0,0,72000,0.974194444,False,False,0.0,0.0,0.0,93,58,NR,SEC,2002,9,7,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/14/2002,Arkansas,6:00 PM,South Florida*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 423,55817,1,0,53727,1.038900367,False,False,0.03,0.0,0.0,80,61,NR,SEC,2002,9,14,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/28/2002,Arkansas,6:45 PM,Alabama,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 1230,73551,2,0,72000,1.021541667,False,False,0.0,0.0,0.0,88,52,NR,SEC,2002,9,28,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/19/2002,Arkansas,1:00 PM,Kentucky,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,L 1729,61573,3,2,72000,0.855180556,False,False,0.1,0.0,0.0,59,49,NR,SEC,2002,10,19,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/26/2002,Arkansas,1:00 PM,Ole Miss,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",Not on TV,W 4828,71723,3,3,72000,0.996152778,False,False,0.0,0.0,0.0,53,37,NR,SEC,2002,10,26,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/2/2002,Arkansas,1:00 PM,Troy State*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 230,42817,4,3,53727,0.796936363,False,False,0.37,0.0,0.0,42,39,NR,SEC,2002,11,2,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/16/2002,Arkansas,1:00 PM,LouisianaLafayette*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 2417,54843,6,3,72000,0.761708333,False,False,0.0,0.0,0.0,47,25,NR,SEC,2002,11,16,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/29/2002,Arkansas,1:30 PM,No. 18 LSU,NR,"War Memorial StadiumLittle Rock, AR (Battle for the Golden Boot)",CBS,W 2120,55553,8,3,53727,1.033986636,False,False,0.0,0.0,0.0,66,35,18,SEC,2002,11,29,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/6/2003,Arkansas,6:00 PM,Tulsa*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 4513,69442,0,0,72000,0.964472222,False,False,0.0,0.0,0.0,82,50,NR,SEC,2003,9,6,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/20/2003,Arkansas,6:00 PM,North Texas*,14,"War Memorial StadiumLittle Rock, AR",Not on TV,W 317,55825,2,0,53727,1.039049268,False,False,0.0,0.0,0.0,76,42,NR,SEC,2003,9,20,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/11/2003,Arkansas,11:30 AM,Auburn,7,"Donald W. Reynolds Razorback StadiumFayetteville, AR",JPS,L 310,74026,4,0,72000,1.028138889,False,False,0.01,0.0,0.0,76,53,NR,SEC,2003,10,11,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/18/2003,Arkansas,2:30 PM,Florida,11,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CBS,L 2833,73934,4,1,72000,1.026861111,False,False,0.0,0.0,0.0,72,37,NR,SEC,2003,10,18,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/6/2003,Arkansas,6:30 PM,South Carolina,NR,"War Memorial StadiumLittle Rock, AR",ESPN,W 286,55617,5,3,53727,1.035177844,False,False,0.01,0.0,0.0,42,35,NR,SEC,2003,11,6,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/15/2003,Arkansas,1:00 PM,New Mexico State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 4820,53725,6,3,72000,0.746180556,False,False,0.0,0.0,0.0,57,45,NR,SEC,2003,11,15,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/22/2003,Arkansas,1:00 PM,Mississippi State,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 526,62547,7,3,72000,0.868708333,False,False,0.0,0.0,0.0,71,45,NR,SEC,2003,11,22,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/4/2004,Arkansas,6:00 PM,New Mexico State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 6313,70114,0,0,72000,0.973805556,False,False,0.0,0.0,0.0,88,60,NR,SEC,2004,9,4,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/18/2004,Arkansas,6:00 PM,Louisiana-Monroe*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 4920,55652,1,1,53727,1.035829285,False,False,0.0,0.0,0.0,90,13,NR,SEC,2004,9,18,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/25/2004,Arkansas,2:30 PM,Alabama,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CBS,W 2710,72543,2,1,72000,1.007541667,False,False,0.0,0.0,0.0,85,56,NR,SEC,2004,9,25,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/23/2004,Arkansas,6:00 PM,No. 10 Georgia,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN2,L 1420,71644,3,3,72000,0.995055556,False,False,0.04,0.0,0.0,76,43,10,SEC,2004,10,23,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/13/2004,Arkansas,11:30 AM,Ole Miss,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",JPS,W 353,63474,3,5,72000,0.881583333,False,False,0.0,0.0,0.0,56,29,NR,SEC,2004,11,13,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/26/2004,Arkansas,1:30 PM,No. 14 LSU,NR,"War Memorial StadiumLittle Rock, AR (Battle for the Golden Boot)",CBS,L 1443,55829,5,5,72000,0.775402778,False,False,0.2,0.0,0.0,57,37,14,SEC,2004,11,26,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/3/2005,Arkansas,6:00 PM,Missouri State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 4917,66424,0,0,72000,0.922555556,False,False,0.34,0.0,0.0,91,63,NR,SEC,2005,9,3,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/10/2005,Arkansas,6:00 PM,Vanderbilt,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,L 2428,68215,1,0,72000,0.947430556,False,False,0.0,0.0,0.0,92,59,NR,SEC,2005,9,10,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/8/2005,Arkansas,6:00 PM,LouisianaMonroe*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 4415,54209,1,3,53727,1.008971281,False,False,0.0,0.0,0.0,68,35,NR,SEC,2005,10,8,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/15/2005,Arkansas,6:00 PM,No. 21 Auburn,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,L 1734,71673,2,3,72000,0.995458333,False,False,0.0,0.0,0.0,84,46,21,SEC,2005,10,15,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/5/2005,Arkansas,11:30 AM,South Carolina,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",JPS,L 1014,65837,2,5,72000,0.914402778,False,False,0.0,0.0,0.0,77,52,NR,SEC,2005,11,5,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/19/2005,Arkansas,1:00 PM,Mississippi State,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 4410,55712,3,6,53727,1.036946042,False,False,0.0,0.0,0.0,58,32,NR,SEC,2005,11,19,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/2/2006,Arkansas,7:45 PM,No. 6 USC*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 1450,76564,0,0,72000,1.063388889,False,False,0.0,0.0,0.0,82,58,6,SEC,2006,9,2,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/9/2006,Arkansas,6:00 PM,Utah State*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 200,69491,0,1,72000,0.965152778,False,False,0.0,0.0,0.0,83,54,NR,SEC,2006,9,9,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/23/2006,Arkansas,2:30 PM,Alabama,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CBS,W 2423 2OT,74687,2,1,72000,1.037319444,False,False,1.18,0.0,0.0,73,55,NR,SEC,2006,9,23,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/14/2006,Arkansas,1:00 PM,SE Missouri State*,17,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 637,72453,4,1,72000,1.006291667,False,False,0.0,0.0,0.0,69,37,NR,SEC,2006,10,14,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/21/2006,Arkansas,11:30 AM,Ole Miss,15,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",LFS,W 383,73445,5,1,72000,1.020069444,False,False,0.0,0.0,0.0,66,40,NR,SEC,2006,10,21,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/28/2006,Arkansas,6:00 PM,LouisianaMonroe*,13,"War Memorial StadiumLittle Rock, AR",ESPNU,W 4410,55420,6,1,53727,1.031511158,False,False,0.0,0.0,0.0,65,38,NR,SEC,2006,10,28,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/11/2006,Arkansas,6:00 PM,No. 13 Tennessee,11,"Donald W. Reynolds Razorback StadiumFayetteville, AR (College GameDay)",ESPN2,W 3114,76728,8,1,72000,1.065666667,False,False,0.0,0.0,0.0,51,28,13,SEC,2006,11,11,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/24/2006,Arkansas,1:30 PM,No. 9 LSU,5,"War Memorial StadiumLittle Rock, AR (Battle for the Boot)",CBS,L 2631,55833,10,1,72000,0.775458333,False,False,0.0,0.0,0.0,71,47,9,SEC,2006,11,24,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/1/2007,Arkansas,6:00 PM,Troy*,20,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 4626,73926,0,0,72000,1.02675,False,False,0.0,0.0,0.0,86,54,NR,SEC,2007,9,1,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/22/2007,Arkansas,5:00 PM,No. 23 Kentucky,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN2,L 2942,74015,1,0,72000,1.027986111,False,False,0.0,0.0,0.0,86,58,23,SEC,2007,9,22,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/29/2007,Arkansas,6:00 PM,North Texas*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 667,66343,1,1,72000,0.921430556,False,False,0.0,0.0,0.0,79,52,NR,SEC,2007,9,29,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/6/2007,Arkansas,6:00 PM,Chattanooga*,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 3415,54836,2,1,53727,1.020641391,False,False,0.0,0.0,0.0,83,68,NR,SEC,2007,10,6,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/13/2007,Arkansas,6:45 PM,No. 25 Auburn,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 79,72463,3,1,72000,1.006430556,False,False,0.0,0.0,0.0,75,49,25,SEC,2007,10,13,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/27/2007,Arkansas,1:00 PM,FIU*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 5810,60750,4,2,72000,0.84375,False,False,0.0,0.0,0.0,65,37,NR,SEC,2007,10,27,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/3/2007,Arkansas,7:00 PM,No. 25 South Carolina,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN2,W 4836,70742,5,2,72000,0.982527778,False,False,0.0,0.0,0.0,65,39,25,SEC,2007,11,3,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/17/2007,Arkansas,1:00 PM,Mississippi State,NR,"War Memorial StadiumLittle Rock, AR",Not on TV,W 4531,55185,6,3,53727,1.027137194,False,False,0.0,0.0,0.0,71,42,NR,SEC,2007,11,17,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
8/30/2008,Arkansas,6:00 PM,Western Illinois*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Not on TV,W 2824,70537,0,0,72000,0.979680556,True,False,0.0,0.0,0.0,87,67,NR,SEC,2008,8,30,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/20/2008,Arkansas,11:30 AM,No. 13 Alabama,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Raycom,L 1449,72315,2,0,72000,1.004375,True,False,0.01,0.0,0.0,79,54,13,SEC,2008,9,20,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/4/2008,Arkansas,11:30 AM,No. 13 Florida,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",Raycom,L 738,70072,2,2,72000,0.973222222,True,False,0.14,0.0,0.0,75,52,13,SEC,2008,10,4,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/25/2008,Arkansas,6:00 PM,Ole Miss,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",PPV,L 2123,74168,3,4,72000,1.030111111,True,False,0.0,0.0,0.0,65,32,NR,SEC,2008,10,25,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/1/2008,Arkansas,1:00 PM,No. 18 Tulsa*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",PPV,W 3023,70021,3,5,72000,0.972513889,True,False,0.0,0.0,0.0,76,49,18,SEC,2008,11,1,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/28/2008,Arkansas,1:30 PM,LSU,NR,"War Memorial StadiumLittle Rock, AR (Battle for the Boot)",CBS,W 3130,55325,4,7,72000,0.768402778,True,False,0.0,0.0,0.0,58,41,NR,SEC,2008,11,28,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/5/2009,Arkansas,6:00 PM,Missouri State*,NR,"War Memorial StadiumLittle Rock, AR",PPV,W 4810,55572,0,0,53727,1.034340276,False,False,0.0,0.0,0.0,83,65,NR,SEC,2009,9,5,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/19/2009,Arkansas,7:45 PM,No. 20 Georgia,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,L 4152,74210,1,0,72000,1.030694444,False,False,0.03,0.0,0.0,71,63,20,SEC,2009,9,19,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/10/2009,Arkansas,11:00 AM,No. 17 Auburn,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPN,W 4423,72559,2,2,72000,1.007763889,False,False,0.0,0.0,0.0,57,36,17,SEC,2009,10,10,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/31/2009,Arkansas,6:00 PM,Eastern Michigan*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",ESPNU,W 6327,62501,3,4,72000,0.868069444,False,False,0.0,0.0,0.0,62,38,NR,SEC,2009,10,31,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/7/2009,Arkansas,11:21 AM,South Carolina,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECN,W 3316,68865,4,4,72000,0.956458333,False,False,0.0,0.0,0.0,75,57,NR,SEC,2009,11,7,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/14/2009,Arkansas,6:30 PM,Troy*,NR,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CSS,W 5620,66442,5,4,72000,0.922805556,False,False,0.0,0.0,0.0,71,56,NR,SEC,2009,11,14,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
11/21/2009,Arkansas,11:21 AM,Mississippi State,NR,"War Memorial StadiumLittle Rock, AR",SECN,W 4221,55634,6,4,53727,1.035494258,False,False,0.01,0.0,0.0,60,44,NR,SEC,2009,11,21,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/4/2010,Arkansas,6:00 PM,Tennessee Tech*,17,"Donald W. Reynolds Razorback StadiumFayetteville, AR",PPV,W 443,69596,0,0,72000,0.966611111,False,False,0.0,0.0,0.0,81,49,NR,SEC,2010,9,4,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/11/2010,Arkansas,6:00 PM,LouisianaMonroe*,14,"War Memorial StadiumLittle Rock, AR",SECRN,W 317,55705,1,0,53727,1.036815754,False,False,0.04,0.0,0.0,84,63,NR,SEC,2010,9,11,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
9/25/2010,Arkansas,2:30 PM,No. 1 Alabama,10,"Donald W. Reynolds Razorback StadiumFayetteville, AR",CBS,L 2024,76808,3,0,72000,1.066777778,False,False,0.01,0.0,0.0,75,54,1,SEC,2010,9,25,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/23/2010,Arkansas,11:21 AM,Ole Miss,21,"Donald W. Reynolds Razorback StadiumFayetteville, AR (rivalry)",SECN,W 3824,73619,4,2,72000,1.022486111,False,False,0.56,0.0,0.0,72,59,NR,SEC,2010,10,23,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
10/30/2010,Arkansas,7:00 PM,Vanderbilt,19,"Donald W. Reynolds Razorback StadiumFayetteville, AR",SECRN,W 4914,70430,5,2,72000,0.978194444,False,False,0.0,0.0,0.0,69,38,NR,SEC,2010,10,30,arkansas,20.0,Arkansas,52871.4,66.45%,67254.0,84.53%,0.6645,0.8453,79562.28557908435,0.6645,Arkansas
